model,accuracy,macro_f1,weighted_f1,esi_1_recall,esi_2_recall
dummy_stratified,0.3150547461606007,0.19870373522151402,0.3150052224574791,0.011385199240986717,0.2907022961445562
logistic_regression,0.45740372381413186,0.3819327456151195,0.5027081728916646,0.7419354838709677,0.48014186565567
decision_tree,0.25196674013941905,0.2000216985632358,0.26312258076031486,0.7656546489563567,0.43376035711009875
